raw_question,correct_answer
Moorfield’s Hospital in London specialises in the treatment of which part of the body?,"['Eye (anatomy)', 'Eye', 'Eye balls', 'Schizochroal eye', 'Ocular globe', 'Ommateum', 'Simple eye', 'Oculars', 'Animal eyes', 'Eyes', 'Compound Eyes', 'Apposition eye', 'Robotic eye', 'Eye ball', 'Facet eyes', 'Compound Eye', 'Conjunctival disorders', 'Compound eyes', 'Eyeball', 'Cyber-eye', 'Eye (vertebrate)', 'Eye (invertebrate)', 'Ommotidium', ""Fly's eye lens"", 'Peeper (organ)', 'Camera-type eye', 'Ocular', 'Compound eye', 'Eye membrane', 'Pinhole eye']"
"Eighteen year-old Eri Yoshida, known as the Knuckleball Princess, in 2010 became the first Japanese woman to play in the US professional (generally all-male) league of which sport?","['Baseball game', 'Baseball players', 'Baseball player', 'Basebasll', 'American baseball', 'Béisbol', 'Baseball team', 'Baseball Player', 'Base Ball', 'Beisbol', 'Baseball', ""America's pasttime"", ""America's past time"", 'The transformation of baseball', 'Baseball Sign', 'Basebol', 'Base-Ball', 'Baseballer', 'BaseBall', 'Simplified baseball rules', ""America's past-time"", 'Base-ball', 'Globalization of baseball', 'Basebal', 'Base ball', 'American rounders']"
Who was the sixth and last wife of Henry VIII?,"['Katheryn Parre', 'Queen Katherine Parr', 'Kateryn Parre', 'Katherine Parr', 'Katharine Parr', 'Catherine Parr', 'Catherine Parre', 'Lady Latimer', 'Catherine Borough', 'Katherine Borough', 'Katheryn Parr', 'Kateryn Parr', 'Anthony Martienssen', 'Katharine Parre', 'Katherine Parre', 'Queen Catherine Parr', 'Lady Lattimer']"
The Third Mainland (What?) in Lagos is (at the 2010s) Africa's longest?,"['Bridges', 'Bridge railing styles', 'Bridge building', '🌉', 'Bridge abutments', 'Railroad Bridge', 'Railroad bridge', 'Road bridges', 'Bridge Building', 'Bridge (engineering)', 'Double-deck bridge', 'Railway bridges', 'Types of bridges', 'Railway bridge', 'Bridge (structure)', 'Bridge railing', 'Bridge railing style', 'Brigecraft', 'Road bridge', 'Bridgecraft', 'Bridge', 'Road Bridge', 'Bridge failure', 'Rail bridge', 'Railway Bridge', 'Bidge', 'Bridge failures']"
"Poundland started in 1990 as a single store, in which Midlands town?","['Burton Upon Trent', 'Burton-upon-Trent', 'Burton-on-Trent', 'Burton-On-Trent', 'Burton upon trent', 'Burton upon Trent Borough Council', 'County Borough of Burton upon Trent', 'Burton upon Trent', 'Burton on Trent']"
For which film did Woody Allen win the 'Oscar' for Best Original Screenplay earlier this year?,"[""'MIDNIGHT IN PARIS'"", 'Midnight in Paris', 'Midnight In Paris']"
"Hamilcar Barca was the father of which famous general, born in 247BC?","['Carthaginian general Hannibal', 'Hannibal (Barcid)', 'Hannibal the Great', 'Conquests of Hannibal', 'Conquests of hannibal', 'Hanibal', 'Hannibal', 'Hanniball', 'Hannibal Barca', 'Hannibal of Carthage']"
By what name did we come to know musician William Perks,"['Wyman, Bill', 'Bill Wyman', 'William George Perks']"
What acid occurs naturally in bee and ant venom?,"['Metacarbonoic acid', 'Methanoic Acid', 'ATCvet code QP53AG01', 'Formic acid', 'Formic (acid)', 'Formic acids', 'Hydrogen carboxylic acid', 'CHOOH', 'Hydrogen formate', 'Hydrogencarboxylic acid', 'HCOOH', 'Methanoic acid', 'Formylic acid', 'Formic Acid', 'Aminic acid', 'Acid of ants', 'Methanaoic Acid', 'E236', 'HCO2H']"
Mrs Grose and Miss Jessel appear in which novella by Henry James?,"['Turn of the Screw', 'The turn of the screw', 'The Turn of the Screw', 'The Turn Of The Screw']"
What is the deepest sea trench called?,"['The Mariana Trench. At 10,920 m (35,827 ft) from sea level, it could drown the Alps twice over']"
What is the term for the measure of the brightness of a star as it appears on earth?,"['Visible magnitude', 'Visual brightness', 'Pogsons ratio', 'Apparent brightness', 'Apparent visual magnitude', 'Apparent Visual Brightness', 'Fifth magnitude star', 'Apparent Magnitude', 'Apparent bightness', ""Pogson's Ratio"", 'Sixth magnitude star', 'Apparent visual magnitudes', 'Apparent bolometric magnitude', 'Second magnitude star', 'Stellar magnitude', 'Apparent magnitude', 'Apparent luminosity', 'Apparent Visual Magnitude', 'Apparant magnitude', 'Visual magnitude', 'Optical magnitude', ""Pogson's ratio"", 'V magnitude']"
Which two teams set a record for the total number of points (96) scored in an NFL playoff match when they met in January 2010?,['Arizona Cardinals  and the Green Bay Packers']
Who won the Canadian Grand Prix in 2001,"['Ralf Schumacher', 'Ralph Schumacher']"
Which actor replaced Charlie Sheen in the US television series ‘Two and a Half Men’?,"['Christopher Kutcher', 'Christopher Ashton Kutcher', 'Ashton kutcher', 'Ashton Kucher', 'Ashton Kutsher', 'Ashton Kutcher on Twitter', 'Ashton Kutcher', 'Chris Kutcher', 'AshtonKutcher', 'Ashton Kutcher filmography']"
With what was the Kyoto Summit concerned?,"['Globle warming', 'Climate crisis', 'Global warming hypothesis', 'Climate destruction', 'Global Warming', 'Global warming theory', 'Anthropogenic global warming theory', 'Global wobal', 'Heat emissions', 'Planetary warming', 'Global warnming', 'Globle Warming', 'Understanding Global Warming.', 'Anthopogenic global warming theory', 'Impending climatic catastrophe', 'Anthropogenic climate change', 'Global warming', 'Warmism', 'Climate Security', 'Global Warming theory', 'Sun global warming', 'Global climate crisis', 'Climate crunch', 'Golbal warming', 'Anthopogenic global warming', 'Global heating', 'Pollution contributed climate change', 'Modern Warming', 'Natural global warming', 'Climate security', 'Heat emission', 'Anthropogenic warming', 'Anthropogenic Global Warming', 'Global Warming Theory', 'Climate-change', 'Gobal warming', 'Global woble', 'Global warming period', 'Global warmin', 'Global Broiling', 'Global climate change', 'Climate warming', 'Global Woble', 'Global environmental degradation', 'Climate change in Maldives', 'Global Wobal', 'Global warmng', 'Eco-apocalypse', 'Climatism', 'Anthropogenic Climate Change', 'Climate feedback']"
What was the name of the robot in Forbidden Planet?,"['Robby the Robot', 'Robbie The Robot', 'Robbie the robot', 'Robby the robot', 'Robbie the Robot']"
Which Oscar winning film was based on the life of killer Aileen Wuornos?,"['Monters', 'MONSTER', 'Monsters and imaginary beasts', 'Giant monster', 'Monstor', 'Monsters', 'Monster']"
Which page of a Web site is called a Home Page?,"['First (track)', 'First (album)', '1st (EP)', 'First (disambiguation)', 'Firſt', '1st', 'Firsts', 'First']"
What was the name of the first cloned mammal?,"['Dollies', 'Single-axle trailer', 'Dolly (band)', 'Dolly (disambiguation)', 'Dolly']"
In which country are the Cameron Highlands?,"['Etymology of Malaysia', '马来西亚', 'Malasia', 'Malaysia sports', 'Federation of Malaysia', 'Malay Kingdom', 'ماليزيا', 'Maylasia', 'ISO 3166-1:MY', 'Persekutuan Malaysia', 'Name of Malaysia', 'Malayasia', 'Malaysian Kingdom', 'Malyasia', ""M'sia"", 'Maylaysia', 'Federation state of Malaysia', 'Kingdom of Malaysia', 'Malaixiya', 'Malaisia', 'Malaisie', 'MALAYSIA', 'Malaysian Federation', 'Malaysia', 'மலேசியா', 'Republic of Malaysia']"
The Coca-Cola corporation launched its Sprite drink in 1961 to compete with which similarly famous earlier product?,"['7-Up Gold', 'Orange 7 Up', 'Diet Cherry 7 Up', 'Bib-Label Lithiated Lemon-Lime Soda', 'Cherry Seven Up', '7-Up', 'Cherry 7 Up', 'Cherry 7Up', 'Diet 7 Up', 'Lithiated Lemon', 'Cherry 7 Up Antioxidant', '7 up', 'Dn L', 'Cherry Seven-Up', 'Seven-Up', 'Pomegranate 7 Up', '7-UP', '7 Up Ice Cola', 'Diet Seven-Up', 'Cherry 7-Up', 'The Uncola', '7UP', 'Seven Up', 'Diet 7Up', '7up', '7Up Plus', '7 UP', 'Diet Seven Up', 'Fresh-Up Freddie', '7Up', '7-up', 'Raspberry 7 Up', '7-Up PLUS!', '7 Up Light', '7 Up Gold', 'Uncola', '7UP Beverage', 'Diet 7-Up', '7 Up', '7 Up Free', '7 Up Plus']"
Which instrument did Jazz musician Thelonius Monk play?,"['PIANO', 'The Piano (film)', 'The Piano']"
"Castoreum, which comes from a beaver, is used as an ingredient in what?","['Extrait de Parfum', 'Perfumes', 'Perfume bottles', 'Parfum', 'Perfume bottle', 'Perfuming', ""Men's fragrance"", 'Parfume', 'Perfumery', 'Perfume', 'Eau de Parfum', 'Perfumed', 'Eau de Toilet', 'Eau de parfume', 'Perfume Bottle', 'Perfumeries', 'Perfume Industry', 'Perfumedly', ""Men's Fragrance"", 'Mens Fragrance', 'Perfumingly']"
Which potent potable acquired the nickname 'Nelson's Blood' as Lord Nelson's body was purportedly placed in it for preservation after the Battle of Trafalgar (1805)?,"['Spiced Rum', 'Spiced rum', 'Rum', 'Gunpowder Rum', 'Rum (beverage)', 'White rum', 'Jamaica Spirits', 'Caña blanca', 'Dark rum', 'White Rum', 'Cuban rum', 'Jamaica Spirit', 'Gold rum', 'Cane spirit', 'Light rum', 'Black rum', 'Rude rum', 'Hard rum', 'Overproof rum', 'Coconut rum']"
Who was vilified by the press for dangling his youngest son over the edge of a balcony?,"['Prince Michael Jackson Jr', 'Michael Jackson controversy in Berlin', 'Michael Jackson: History', 'Michael Joseph Jackson Jr.', 'Agent MJ', 'Paris Jackson (daughter of Michael Jackson)', 'Blanket Jackson', 'Chamone', 'Prince Michael Jackson', 'MichaelJackson', 'Rhinstone Glove', 'Grace Rwaramba', 'Michael Jackson discography', 'History of Michael Jackson', 'Michael Jacksson', 'Prince Michael Jackson 1', '2002 Berlin controversy involving Michael Jackson', 'Michale jackson', 'Paris micheal katherine Jackson', 'Prince blanket', 'Prince Micheal Jackson II', 'Michael Jackson: The Legend Continues', 'Paris Katherine Jackson', 'Michael Jackson Jr.', 'Michael Jackson in popular culture', 'Johnny Jay Smith', 'Michael Jackson jr', 'Michel Jackson', 'Wacko Jacko', 'Michael j. jackson', 'Paris Michael Jackson', 'Prince Michael Jackson ll', 'Prince Michael Jackson II', ""Paris Jackson (Michael Jackson's Daughter)"", 'List of Michael Jackson performances', ""Michael Jackson's finances"", 'Michael jackson singer', 'Michael Jackson (singer)', 'Prince Jackson II', 'Prince Michael Jackson Jr.', 'Michael Joseph Jackson Jr', 'The Gloved One', 'Michael jackosn', 'Michael Jackson (personal life)', 'Michael Joe Jackson', ""Cha'mone"", 'Blanket (child)', 'Paris Jackson (actress)', 'Wax Jax', 'Life of Michael Jackson', 'Artistry of Michael Jackson', 'Michael J Jackson', 'Michael jackson - singer', 'Shamone', 'Michael Jackson', 'Prince Michael Jackson I', 'Michael Jackson discography (disambiguation)', 'Michael Joseph Jackson', 'Michael Joseph Jackson%22King of Pop%22', 'Paris Michael Katherine Jackson', 'Jackson, Michael Joseph', 'Jackson, Michael', 'Michael Joseph Jackson, Jr.', 'Michael Jakson', 'Michael jackson', 'Mickey J', 'Michaël Jackson', 'Micheal Jackson', 'Paris-Michael Katherine Jackson', 'Michal Jackson', 'The baby dangling incident', 'Michael Jackson finances', 'Wacko jacko', 'Michael Jackson (entertainer)']"
In which country did the 1798 battle of Vinegar Hill take place,"['Irlanda', 'Island ireland', 'Ireland (region)', 'Irlandia', ""Erin's Isle"", 'Airlan', 'Ireland', 'West Coast of Ireland', 'The island of Ireland', 'Island Ireland', 'Ireland (island)', 'Irland', 'HÉireann', 'Ireland Ulster', 'Population of Ireland', 'Irelander', 'Ireland and Ulster', 'Ireland (Island)', 'IRELAND', 'Symbol of Ireland', 'Scotia major', 'Island of Ireland', 'Airlann', 'Mikra Britannia', 'Irelanders', 'Auld Sod', 'Ierne (placename)']"
What is the Hindi greeting and salutation also used by many Westerners engaging in Indian cultural activities and philosophies?,"['Namaste', 'Pranamya', 'नमस्ते', 'Nomastay', 'Indian salutation', 'Namaskar', 'Namasthe', 'Namaskara', 'Namasté', 'Namaskaram']"
"Which famous archipelago comprises eight major islands including Maui, Oahu, Kauai, and Molokai?","['Hawaiian ridge', 'Hawaiian archipelago', 'Hawaiian island', 'Geology of Hawaii', 'Geography of Hawaiʻi', ""Hawai'ian Islands"", 'Hawaii Islands', 'The Hawaiian Islands', 'The Hawaii Islands', 'Hawaiian islands', 'Hawaiian Windward Islands', 'Southeastern Hawaiian Islands', 'Hawaiian chain', 'Hawaiian Islands', 'Hawaiʻian Islands', 'Mokupuni o Hawai‘i', 'Hawai%60ian Islands', 'Hawaiian Archipelago']"
"How did the Russian physicist and politician, Boris Nemtsov, die in February 2015?",['He was shot in the back near the Red Square in Moscow']
"The common name of which element, symbol Sb is from the Greek for 'not alone'?",['Antimony (anti-monos means not-alone)']
The Beaufort scale is used to measure the speed of what?,"['Blustery', 'Eolic', 'Aeolian Action', 'Wind Cycle', 'Cyclostrophic Wind', 'Wind (weather)', 'Aeolian activity', '🌬', 'Winds', 'Wind gust', 'Gust (wind)', 'Wind strength', 'Land and sea breeze', 'WInds', 'WInds.', 'Barometric gradient', 'Wind', 'Winds.']"
What every-day item was named after Mrs Gamp in Charles Dickens' Martin Chuzzlewit?,"['☂', 'Umbrella', 'Umbrela', 'History of the umbrella', 'Unbrella', 'Beach umbrella', 'Parasols', '🌂', '☔', 'Windproof umbrella', 'Beach parasol', 'Parasol', 'History of the Umbrella', 'Umbrellas']"
With which branch of the arts would you associate Leni Riefenstahl?,['CINEMA / PHOTOGRAPHY']
Who directed the 1969 film 'Easy Rider'?,"['Dennis Hopper/Filmography', 'Dennis Hopper', 'Dennis Hoper', 'Dennis Lee Hopper', 'Denis Hopper', 'Hopper, Dennis', 'DENNIS HOPPER']"
In 1956 which scientific concept was demonstrated in Magdeburg by Otto von Guericke?,"['Central pressure', 'Sea level pressure', 'Barometric pressure', 'Atmospheric Pressure', 'Air Pressure', 'Mean Sea Level Pressure', 'Atmospheric air pressure', 'Atmospheric pressure', 'Air pressure', 'Sea Level Pressure', 'Sea-level pressure', 'Standard atmospheric pressure', 'ATMOSPHERIC PRESSURE', 'Mean sea level pressure', 'Normal pressure']"
Which famous horror movie star was buried in his Dracula costume?,"['Blaskó Béla Ferenc Dezső', 'Béla lugosi', 'Bela Lugosi', 'Bela Ferenc Dezso Blasko', 'Bella lugosi', 'Lugosi Béla', 'Lugosian', 'Blasko Bela Ferenc Dezso', 'Béla Lugosi', 'Béla Ferenc Dezső Blaskó', 'Bela Ferenc Blasko', 'Lugosi', 'Béla Ferenc Dezsõ Blaskó', 'Bella Lugosi', 'Lugosi Bela', 'Bela lugosi', 'Lugosi béla', 'Lugosi bela']"
What do we call bands of flexible fibrous connective tissue that links bones together?,"['Ligamentum', 'Collateral Ligaments', 'Ligaments', 'LIGAMENTS', 'Desmology', 'Ligament', 'Ligamentopathy', 'Ligaments, articular', 'Capsular ligaments']"
Give the full name of the villain from the 'Nightmare On Elm Street' series of movies?,"['Freddy krueger', 'Freddy Cruger', 'Fred Charles Krueger', 'The Springwood Slasher', 'Freddy kruger', 'Frederick %22Freddy%22 Krueger', 'Fred kruger', 'Loretta Krueger', 'Freddy Krueger', ""'FREDDIE KRUGER'"", 'Fred Krueger', 'Springwood Slasher', 'Freddy Kruger', 'Frederick Krueger', 'Frederick Charles %22Freddy%22 Krueger', 'Freddie Kruger', 'Freddy Charles Krueger', 'Frederick Charles Krueger', 'Fredrick Charles Krueger', 'Freddy krooger', ""Freddy Krueger's Glove"", 'Freddy krueger series', 'Freddy Kreuger', 'Freddy Krüger']"
